index,respondent_id,date_created,NPS,Comentario,Sucursal,Mes - Año,Clasificacion_NPS
216,114647426447,2024-07-18,5,Instalaciones buenas,Buceo,07-2024,Promotor
217,118558258832,2024-03-13,3,No tengo amigas para recomendar,Flores,03-2024,Pasivo
218,114432402632,2023-10-09,4,"Es cómodo, las recepcionistas atienden muy bien y los profesores son excelentes",Flores,10-2023,Promotor
219,118650141148,2024-07-17,4,Poco mantenimiento de las maquinas,Flores,07-2024,Promotor
227,118439632981,2023-10-10,5,Hace20 años que lo uso.,Caballito 2,10-2023,Promotor
228,114646554859,2024-07-17,4,En la sede de Acoyte hay deterioros que tardan en solucionarse,Caballito,07-2024,Promotor
229,114647536298,2024-07-18,3,Es bueno el gimnasio .pero era mejor.,Caballito 2,07-2024,Pasivo
231,118438941099,2023-10-09,4,Estoy bastante conforme,Caballito 2,10-2023,Promotor
233,114554168868,2024-03-15,3,Es dificil manejarse en forma autómona . Autodidacta,Barrio Norte,03-2024,Pasivo
236,114552958971,2024-03-14,3,mas opciones de maquinas ayudaria en el flujo de personas cuando este lleno,Caballito 2,03-2024,Pasivo
237,114433035474,2023-10-10,4,Falta arreglar algunas maquinas en algunas sedes ,Caballito,10-2023,Promotor
241,118429681976,2023-09-28,3,Falta personal activo para ayudar al armado de rutinas en la sala de maquinas,Punta Carretas,09-2023,Pasivo
243,114554907096,2024-03-16,4,me encuentro comodo,Microcentro,03-2024,Promotor
244,118441100945,2023-10-11,5,"Porque me queda cómodos al poder ir horarios que yo, pueda y lugares dónde yo me encuentre. Tengo muchas opciones para elegir",Nuñez,10-2023,Promotor
247,114434481688,2023-10-11,4,Es buena calificación ,Flores,10-2023,Promotor
248,114433367144,2023-10-10,5,muy buen trato y docente excelente,Almagro,10-2023,Promotor
249,114650591211,2024-07-23,5,Clases Super y personal del gimnasio en general trato cordial,Almagro,07-2024,Promotor
250,118428052088,2023-09-26,5,Muy conforme con las instalaciones ,Punta Carretas,09-2023,Promotor
251,118560709534,2024-03-17,5,Atención muy buena y buenas instalaciones ,Almagro,03-2024,Promotor
252,114434071995,2023-10-11,4,No pongo 5 porque faltan aparatos como bicicletas con silla( solo2) y otros pocos de los que utilizamos varios y muchas veces me voy sin poder hacer todo el circuito . En cuanto la atención del personal es excelente y los baños y duchas impecables . Gracias por preguntar ,Almagro,10-2023,Promotor
255,118564958600,2024-03-22,4,"A mi gusto una contaminacion SONORA importante, ",Almagro,03-2024,Promotor
256,114436399729,2023-10-13,5,"El personal a cargo son amables, muy profesionales y atentos a cualquier solicitud. Las instalaciones  en general aparatos, maquinas, baños y duchas en lo que a limpieza se trata estan muy bien.",Almagro,10-2023,Promotor
260,114432568340,2023-10-09,4,"buen servicios, las maquinas en general bien. La higiene muy bien.",Abasto,10-2023,Promotor
262,114552383371,2024-03-13,5,Estoy conforme.,Adrogue,03-2024,Promotor
263,114432385296,2023-10-09,5,Estoy conforme!,Adrogue,10-2023,Promotor
266,114558868312,2024-03-21,5,Me gusta por que es muy completo ,Barrio Norte,03-2024,Promotor
267,114432353077,2023-10-09,5,Tenemos todo lo que necesitamos en un gimnasio ,Barrio Norte,10-2023,Promotor
269,118651562883,2024-07-19,5,Por que es un  gimnasio de Excelencia ,Barrio Norte,07-2024,Promotor
270,118438814206,2023-10-09,5,Brindan clases muy útiles e interesantes,Caballito 2,10-2023,Promotor
271,114554765821,2024-03-16,3,No arreglan lo que se rompe,Congreso,03-2024,Pasivo
273,118558283185,2024-03-13,4,Sacaron las toallas de papel  y el alcohol en gel justo ahora que circulan más virus y las máquinas están muy juntas ,Caballito,03-2024,Promotor
274,114646087808,2024-07-17,5,Es obvio. Estoy conforme si puse 5.No estoy de acuerdo con haber sacado la mayoría de los desinfectantes y alcohol en gel  teniendo en cuenta que tienen las maquinas muy juntas. Todavía hay muchas enfermedades dando vueltas. ,Caballito,07-2024,Promotor
278,114555104277,2024-03-17,4,Acoyte sede a la q concurso es un desastre desordenado todo a las 7 a.m y solo 1 profe en salón q a veces no puede controlar .A veces siento q no estoy cuidada.Maquinas con poco mantenimiento .,Caballito 2,03-2024,Promotor
279,118438816590,2023-10-09,4,Acoyte muy desorganizado solo bien la profe Jackie ,Caballito 2,10-2023,Promotor
282,114432464932,2023-10-09,5,"No tengo criticas , estoy conforme !.",Abasto,10-2023,Promotor
284,118563330457,2024-03-20,4,Cómo toda institución tiene un gran porcentaje de puntos a favor y algunos que fallan ,Caballito,03-2024,Promotor
286,118559010107,2024-03-14,4,me parece que  precio es correcto ,Almagro,03-2024,Promotor
287,114646272915,2024-07-17,3,"no me parece calido el lugar. no hay un barcito, la verdad es para gente mucho  mas joven",Nuñez,07-2024,Pasivo
291,114433388800,2023-10-10,5,"Buena atención, lindo espacio alegre",Almagro,10-2023,Promotor
292,114652067118,2024-07-25,5,Excelente atención ,Almagro,07-2024,Promotor
295,118558397045,2024-03-13,3,"Considero que esta sucursal ,las cintas no estan en condiciones ,mucha gente para el lugar que tiene ,y no es economica  por lo que brinda .Yo fui de Megatlon ,despues me pase a fiter por la opcion  y cambio  pero vere que hago en el futuro ",Flores,03-2024,Pasivo
297,118651074104,2024-07-18,3,Esta bueno pero faltan algunos aparatos para brazos,Barrio Norte,07-2024,Pasivo
299,114555317164,2024-03-17,4,"Me gusta el lugar, tiene buenas clases y aparatos suficientes para entrenar. Deberían mejorar la limpieza del lugar.",Caballito 2,03-2024,Promotor
302,114552732621,2024-03-14,4,Se adecua en parte a las espectativas basicas.,Congreso,03-2024,Promotor
304,118438848624,2023-10-09,4,Depende mucho de la persona.A algunos nunca y otros sin dudarlo.Es para gente poco estructurada y con capacidad de adaptación.,Congreso,10-2023,Promotor
305,118656432748,2024-07-26,1,No me gusta tener que copiar por QR los ejercicios sin tener control si se los realiza bien o no,Congreso,07-2024,Detractor
307,114558221719,2024-03-20,3,Geograficamente está bien ubicado y tiene razonable cantidad de aparatos.,Caballito 2,03-2024,Pasivo
308,118443863680,2023-10-15,3,"A veces descuidado el entorno, máquinas y personas.  Muy buena la profesora de Zumba-Marive  Necesidad de instructores q se interesen por la problemática del asociado  ",Caballito 2,10-2023,Pasivo
311,114434368843,2023-10-11,3,"Pocas maquinas, sin supervision de profisionales   Mucha gente para la capacidad del lugar   Musica muy fuerte  1 leg press para mucha gente ",Abasto,10-2023,Pasivo
312,114649755311,2024-07-22,5,Esta muy bien equipado y la profesoras y profesores son muy buenos,Caballito,07-2024,Promotor
315,114434333633,2023-10-11,5,"Yo hago bicicleta y cinta. Siempre tengo los elementos libres, limpios y funcionando perfectamente.",Almagro,10-2023,Promotor
316,114646995206,2024-07-18,4,voy a FITER de Almagro 3 veces por semana. Encuentro todo muy bien. Hay que mejorar el mantenimiento. Hay aparatos que no funcionan correctamente. EJE. Cintas con las pantallas que no funcionana.,Almagro,07-2024,Promotor
317,118651533650,2024-07-19,5,"Buena atención, equipamiento, variedad de oferta",Adrogue,07-2024,Promotor
318,118653149049,2024-07-22,5,"Resulta ser un buen gym muy limpio, máquinas funcionan bien, gente agradable la qué concurre",Flores,07-2024,Promotor
321,118558442969,2024-03-14,5,Me gusta el ambiente los profesores y el orden y limpieza,Caballito,03-2024,Promotor
323,114554959535,2024-03-16,4,Eficiencia ,Barrio Norte,03-2024,Promotor
325,114554794499,2024-03-16,4,"Puntuación 4, porque considero que faltan algunas máquinas que ayudarían, como una de empuje de cadera, que reduciría la ocupación de los bancos que se utilizan para otras cosas.",Hollywood,03-2024,Promotor
326,114553107470,2024-03-14,5,"Cercanía a mi domicilo, clases buenas, excelentes profes.",Palermo,03-2024,Promotor
328,114646417916,2024-07-17,5,Buenas clases y excelente ambiente,Palermo,07-2024,Promotor
329,114432379412,2023-10-09,5,"Las instalaciones son buenas, también la limpieza y son muy cordiales los profesores ",Caballito,10-2023,Promotor
332,118438825799,2023-10-09,5,Me gustan las clases..los profesores.  El edificio está higiénico,Congreso,10-2023,Promotor
333,114432567251,2023-10-09,5,Es un lugar  muy agradable  con profesores  serios ,Almagro,10-2023,Promotor
335,118558260413,2024-03-13,3,El tratamiento y trabajo de todos quienes integran el lugar ,Caballito,03-2024,Pasivo
336,114432374348,2023-10-09,5,Buen estado del lugar.Buenos  profesores.Limpieza excelente trato humano ,Caballito,10-2023,Promotor
337,114553062828,2024-03-14,5,"Buenas instalaciones, limpio, personal atento,las clases de gimnasia,yoga,con   profesores excelentes...",Lomas,03-2024,Promotor
338,114554838893,2024-03-16,3,Quiero hacer una rutina y no me asesoran,Congreso,03-2024,Pasivo
339,118438969984,2023-10-09,2,Muchas faltas en las clases de ritmos sin suplentes pedí que me hicieran una rutina cuando lo espere se había ido,Congreso,10-2023,Detractor
340,118649836525,2024-07-17,3,No hay baños en la planta baja,Congreso,07-2024,Pasivo
342,114553276101,2024-03-14,4,"La sucursal a la que voy es nueva, todo esta impecable y muy prolijo. Falta algun perchero en el baño, adentro del lugar donde esta el inodoro, no afuera. Hay que colgarse el bolso del cuello o dejarlo en el piso, que no me gusta.",Caballito 2,03-2024,Promotor
